Index	X	Acquisition
0	-6.31123469193157	0
1	-6.28091677228708	1
2	-6.25059885264259	3
3	-6.2202809329981	4
4	-6.18996301335362	6
5	-6.15964509370913	5
6	-6.12932717406464	2
7	-6.09900925442015	3
8	-6.06869133477567	5
9	-6.03837341513118	2
10	-6.00805549548669	5
11	-5.9777375758422	2
12	-5.94741965619771	7
13	-5.91710173655323	5
14	-5.88678381690874	5
15	-5.85646589726425	1
16	-5.82614797761976	3
17	-5.79583005797528	5
18	-5.76551213833079	2
19	-5.7351942186863	5
20	-5.70487629904181	4
21	-5.67455837939733	4
22	-5.64424045975284	2
23	-5.61392254010835	2
24	-5.58360462046386	4
25	-5.55328670081938	4
26	-5.52296878117489	6
27	-5.4926508615304	3
28	-5.46233294188591	2
29	-5.43201502224142	3
30	-5.40169710259694	2
31	-5.37137918295245	2
32	-5.34106126330796	3
33	-5.31074334366347	1
34	-5.28042542401899	4
35	-5.2501075043745	2
36	-5.21978958473001	6
37	-5.18947166508552	4
38	-5.15915374544104	2
39	-5.12883582579655	3
40	-5.09851790615206	5
41	-5.06819998650757	3
42	-5.03788206686309	2
43	-5.0075641472186	3
44	-4.97724622757411	2
45	-4.94692830792962	4
46	-4.91661038828513	2
47	-4.88629246864065	6
48	-4.85597454899616	1
49	-4.82565662935167	0
50	-4.79533870970718	4
51	-4.7650207900627	4
52	-4.73470287041821	1
53	-4.70438495077372	1
54	-4.67406703112923	2
55	-4.64374911148475	2
56	-4.61343119184026	4
57	-4.58311327219577	2
58	-4.55279535255128	0
59	-4.5224774329068	3
60	-4.49215951326231	5
61	-4.46184159361782	4
62	-4.43152367397333	4
63	-4.40120575432884	3
64	-4.37088783468436	3
65	-4.34056991503987	4
66	-4.31025199539538	3
67	-4.27993407575089	5
68	-4.24961615610641	5
69	-4.21929823646192	2
70	-4.18898031681743	0
71	-4.15866239717294	4
72	-4.12834447752846	1
73	-4.09802655788397	3
74	-4.06770863823948	3
75	-4.03739071859499	2
76	-4.00707279895051	7
77	-3.97675487930602	3
78	-3.94643695966153	0
79	-3.91611904001704	4
80	-3.88580112037256	1
81	-3.85548320072807	3
82	-3.82516528108358	2
83	-3.79484736143909	1
84	-3.7645294417946	0
85	-3.73421152215012	4
86	-3.70389360250563	1
87	-3.67357568286114	1
88	-3.64325776321665	1
89	-3.61293984357217	4
90	-3.58262192392768	6
91	-3.55230400428319	2
92	-3.5219860846387	4
93	-3.49166816499422	4
94	-3.46135024534973	3
95	-3.43103232570524	2
96	-3.40071440606075	3
97	-3.37039648641627	6
98	-3.34007856677178	5
99	-3.30976064712729	3
100	-3.2794427274828	2
101	-3.24912480783832	1
102	-3.21880688819383	7
103	-3.18848896854934	4
104	-3.15817104890485	7
105	-3.12785312926036	3
106	-3.09753520961588	3
107	-3.06721728997139	5
108	-3.0368993703269	4
109	-3.00658145068241	3
110	-2.97626353103793	3
111	-2.94594561139344	4
112	-2.91562769174895	4
113	-2.88530977210446	4
114	-2.85499185245998	2
115	-2.82467393281549	4
116	-2.794356013171	1
117	-2.76403809352651	5
118	-2.73372017388203	1
119	-2.70340225423754	0
120	-2.67308433459305	3
121	-2.64276641494856	6
122	-2.61244849530407	1
123	-2.58213057565959	5
124	-2.5518126560151	3
125	-2.52149473637061	1
126	-2.49117681672612	5
127	-2.46085889708164	4
128	-2.43054097743715	1
129	-2.40022305779266	2
130	-2.36990513814817	4
131	-2.33958721850369	1
132	-2.3092692988592	5
133	-2.27895137921471	1
134	-2.24863345957022	6
135	-2.21831553992573	3
136	-2.18799762028125	6
137	-2.15767970063676	5
138	-2.12736178099227	9
139	-2.09704386134778	3
140	-2.0667259417033	3
141	-2.03640802205881	3
142	-2.00609010241432	4
143	-1.97577218276983	2
144	-1.94545426312535	0
145	-1.91513634348086	0
146	-1.88481842383637	2
147	-1.85450050419188	2
148	-1.8241825845474	5
149	-1.79386466490291	1
150	-1.76354674525842	7
151	-1.73322882561393	6
152	-1.70291090596945	2
153	-1.67259298632496	1
154	-1.64227506668047	3
155	-1.61195714703598	5
156	-1.58163922739149	8
157	-1.55132130774701	2
158	-1.52100338810252	4
159	-1.49068546845803	4
160	-1.46036754881354	6
161	-1.43004962916906	1
162	-1.39973170952457	1
163	-1.36941378988008	1
164	-1.33909587023559	5
165	-1.30877795059111	4
166	-1.27846003094662	5
167	-1.24814211130213	4
168	-1.21782419165764	2
169	-1.18750627201316	3
170	-1.15718835236867	2
171	-1.12687043272418	4
172	-1.09655251307969	5
173	-1.06623459343521	4
174	-1.03591667379072	2
175	-1.00559875414623	3
176	-0.975280834501742	3
177	-0.944962914857255	4
178	-0.914644995212767	6
179	-0.884327075568279	4
180	-0.854009155923792	9
181	-0.823691236279304	9
182	-0.793373316634816	6
183	-0.763055396990329	7
184	-0.732737477345841	1
185	-0.702419557701353	5
186	-0.672101638056866	3
187	-0.641783718412378	7
188	-0.61146579876789	10
189	-0.581147879123403	5
190	-0.550829959478915	1
191	-0.520512039834427	3
192	-0.49019412018994	2
193	-0.459876200545452	8
194	-0.429558280900964	7
195	-0.399240361256477	5
196	-0.368922441611989	8
197	-0.338604521967501	6
198	-0.308286602323014	7
199	-0.277968682678526	8
200	-0.247650763034038	6
201	-0.217332843389551	9
202	-0.187014923745063	4
203	-0.156697004100576	12
204	-0.126379084456088	8
205	-0.0960611648116008	16
206	-0.0657432451671132	10
207	-0.0354253255226255	15
208	-0.00510740587813783	12
209	0.0252105137749699	4
210	0.0555284335035505	8
211	0.0858463533985586	6
212	0.116164273551026	10
213	0.146482194051984	11
214	0.176800114992464	8
215	0.207118036463498	7
216	0.237435958556118	3
217	0.267753881361355	5
218	0.29807180497024	5
219	0.328389729473805	3
220	0.358707654963083	8
221	0.389025581529103	10
222	0.419343509262899	6
223	0.449661438255501	6
224	0.479979368597941	0
225	0.51029730038125	8
226	0.540615233696461	2
227	0.570933168634605	4
228	0.601251105286713	6
