Index	X	Acquisition
0	-6.31123469193157	0
1	-6.28091677228708	0
2	-6.25059885264259	5
3	-6.2202809329981	4
4	-6.18996301335362	6
5	-6.15964509370913	1
6	-6.12932717406464	4
7	-6.09900925442015	6
8	-6.06869133477567	5
9	-6.03837341513118	2
10	-6.00805549548669	4
11	-5.9777375758422	3
12	-5.94741965619771	8
13	-5.91710173655323	3
14	-5.88678381690874	2
15	-5.85646589726425	1
16	-5.82614797761976	3
17	-5.79583005797528	3
18	-5.76551213833079	3
19	-5.7351942186863	1
20	-5.70487629904181	8
21	-5.67455837939733	2
22	-5.64424045975284	1
23	-5.61392254010835	5
24	-5.58360462046386	2
25	-5.55328670081938	2
26	-5.52296878117489	3
27	-5.4926508615304	4
28	-5.46233294188591	5
29	-5.43201502224142	4
30	-5.40169710259694	2
31	-5.37137918295245	1
32	-5.34106126330796	3
33	-5.31074334366347	4
34	-5.28042542401899	1
35	-5.2501075043745	4
36	-5.21978958473001	2
37	-5.18947166508552	3
38	-5.15915374544104	2
39	-5.12883582579655	0
40	-5.09851790615206	1
41	-5.06819998650757	2
42	-5.03788206686309	3
43	-5.0075641472186	7
44	-4.97724622757411	6
45	-4.94692830792962	3
46	-4.91661038828513	3
47	-4.88629246864065	3
48	-4.85597454899616	1
49	-4.82565662935167	2
50	-4.79533870970718	2
51	-4.7650207900627	1
52	-4.73470287041821	2
53	-4.70438495077372	2
54	-4.67406703112923	0
55	-4.64374911148475	3
56	-4.61343119184026	1
57	-4.58311327219577	3
58	-4.55279535255128	3
59	-4.5224774329068	3
60	-4.49215951326231	3
61	-4.46184159361782	3
62	-4.43152367397333	3
63	-4.40120575432884	1
64	-4.37088783468436	3
65	-4.34056991503987	2
66	-4.31025199539538	1
67	-4.27993407575089	0
68	-4.24961615610641	3
69	-4.21929823646192	3
70	-4.18898031681743	2
71	-4.15866239717294	3
72	-4.12834447752846	4
73	-4.09802655788397	1
74	-4.06770863823948	3
75	-4.03739071859499	3
76	-4.00707279895051	2
77	-3.97675487930602	3
78	-3.94643695966153	6
79	-3.91611904001704	1
80	-3.88580112037256	2
81	-3.85548320072807	3
82	-3.82516528108358	4
83	-3.79484736143909	2
84	-3.7645294417946	5
85	-3.73421152215012	2
86	-3.70389360250563	5
87	-3.67357568286114	3
88	-3.64325776321665	4
89	-3.61293984357217	7
90	-3.58262192392768	3
91	-3.55230400428319	2
92	-3.5219860846387	2
93	-3.49166816499422	5
94	-3.46135024534973	8
95	-3.43103232570524	2
96	-3.40071440606075	8
97	-3.37039648641627	2
98	-3.34007856677178	4
99	-3.30976064712729	7
100	-3.2794427274828	6
101	-3.24912480783832	3
102	-3.21880688819383	1
103	-3.18848896854934	5
104	-3.15817104890485	4
105	-3.12785312926036	2
106	-3.09753520961588	2
107	-3.06721728997139	3
108	-3.0368993703269	2
109	-3.00658145068241	4
110	-2.97626353103793	4
111	-2.94594561139344	2
112	-2.91562769174895	2
113	-2.88530977210446	3
114	-2.85499185245998	5
115	-2.82467393281549	2
116	-2.794356013171	2
117	-2.76403809352651	3
118	-2.73372017388203	6
119	-2.70340225423754	3
120	-2.67308433459305	4
121	-2.64276641494856	2
122	-2.61244849530407	4
123	-2.58213057565959	1
124	-2.5518126560151	6
125	-2.52149473637061	2
126	-2.49117681672612	3
127	-2.46085889708164	3
128	-2.43054097743715	3
129	-2.40022305779266	3
130	-2.36990513814817	3
131	-2.33958721850369	1
132	-2.3092692988592	3
133	-2.27895137921471	5
134	-2.24863345957022	4
135	-2.21831553992573	3
136	-2.18799762028125	7
137	-2.15767970063676	7
138	-2.12736178099227	4
139	-2.09704386134778	5
140	-2.0667259417033	4
141	-2.03640802205881	2
142	-2.00609010241432	1
143	-1.97577218276983	3
144	-1.94545426312535	1
145	-1.91513634348086	6
146	-1.88481842383637	5
147	-1.85450050419188	4
148	-1.8241825845474	4
149	-1.79386466490291	2
150	-1.76354674525842	5
151	-1.73322882561393	3
152	-1.70291090596945	8
153	-1.67259298632496	1
154	-1.64227506668047	5
155	-1.61195714703598	6
156	-1.58163922739149	4
157	-1.55132130774701	2
158	-1.52100338810252	3
159	-1.49068546845803	4
160	-1.46036754881354	2
161	-1.43004962916906	5
162	-1.39973170952457	5
163	-1.36941378988008	3
164	-1.33909587023559	4
165	-1.30877795059111	7
166	-1.27846003094662	3
167	-1.24814211130213	2
168	-1.21782419165764	2
169	-1.18750627201316	7
170	-1.15718835236867	4
171	-1.12687043272418	3
172	-1.09655251307969	7
173	-1.06623459343521	6
174	-1.03591667379072	4
175	-1.00559875414623	5
176	-0.975280834501742	2
177	-0.944962914857255	4
178	-0.914644995212767	2
179	-0.884327075568279	2
180	-0.854009155923792	6
181	-0.823691236279304	2
182	-0.793373316634816	3
183	-0.763055396990329	3
184	-0.732737477345841	6
185	-0.702419557701353	3
186	-0.672101638056866	5
187	-0.641783718412378	2
188	-0.61146579876789	2
189	-0.581147879123403	3
190	-0.550829959478915	7
191	-0.520512039834427	6
192	-0.49019412018994	5
193	-0.459876200545452	9
194	-0.429558280900964	6
195	-0.399240361256477	0
196	-0.368922441611989	4
197	-0.338604521967501	8
198	-0.308286602323014	7
199	-0.277968682678526	0
200	-0.247650763034038	6
201	-0.217332843389551	2
202	-0.187014923745063	8
203	-0.156697004100576	7
204	-0.126379084456088	7
205	-0.0960611648116008	14
206	-0.0657432451671132	16
207	-0.0354253255226255	11
208	-0.00510740587813783	10
209	0.0252105137749699	8
210	0.0555284335035505	11
211	0.0858463533985586	10
212	0.116164273551026	6
213	0.146482194051984	11
214	0.176800114992464	8
215	0.207118036463498	5
216	0.237435958556118	7
217	0.267753881361355	8
218	0.29807180497024	13
219	0.328389729473805	5
220	0.358707654963083	4
221	0.389025581529103	5
222	0.419343509262899	5
223	0.449661438255501	4
224	0.479979368597941	7
225	0.51029730038125	7
226	0.540615233696461	5
227	0.570933168634605	9
228	0.601251105286713	4
229	0.631569043743817	13
230	0.661886984096948	3
231	0.692204926437139	10
232	0.72252287085542	6
233	0.752840817442824	8
234	0.78315876629038	10
235	0.813476717489123	9
236	0.843794671130083	6
237	0.874112627304291	6
238	0.904430586102779	8
239	0.93474854761658	13
240	0.965066511936723	10
241	0.995384479154241	10
242	1.02570244936017	3
243	1.05602042264553	11
244	1.08633839910136	8
245	1.11665637881869	8
246	1.14697436188856	10
247	1.17729234840199	8
248	1.20761033845002	8
249	1.23792833212367	7
250	1.26824632951398	11
251	1.29856433071199	13
252	1.32888233580871	16
253	1.35920034489519	14
254	1.38951835806246	29
255	1.41983637540154	30
256	1.45015439700347	68
257	1.48047242295928	78
258	1.51079045336	110
259	1.54110848829667	137
260	1.57142652786031	162
261	1.60174457214196	193
262	1.63206262123264	219
263	1.66238067522339	242
264	1.69269873420525	214
265	1.72301679826924	202
266	1.75333486750639	234
267	1.78365294200774	210
268	1.81397102186431	204
269	1.84428910716715	192
270	1.87460719800727	211
271	1.90492529447572	235
272	1.93524339666352	201
273	1.96556150466171	210
274	1.99587961856131	236
275	2.02619773845336	200
276	2.05651586442889	211
277	2.08683399657894	220
278	2.11715213499452	204
279	2.14747027976669	233
280	2.17778843098645	201
281	2.20810658874486	231
282	2.23842475313293	205
283	2.26874292424171	218
284	2.29906110216222	238
285	2.32937928698549	239
286	2.35969747880256	229
287	2.39001567770445	212
288	2.42033388378221	240
289	2.45065209712685	230
290	2.48097031782942	221
291	2.51128854598094	233
292	2.54160678167245	219
293	2.57192502499497	205
294	2.60224327603955	182
295	2.6325615348972	210
296	2.66287980165896	212
297	2.69319807641587	223
298	2.72351635925895	226
299	2.75383465027924	210
300	2.78415294956776	230
301	2.81447125721556	242
302	2.84478957331365	241
303	2.87510789795308	224
304	2.90542623122488	250
305	2.93574457322006	271
306	2.96606292402968	262
307	2.99638128374475	221
308	3.02669965245632	233
309	3.05701803025541	251
310	3.08733641723305	223
311	3.11765481348027	231
312	3.14797321908812	263
313	3.17829163414761	240
314	3.20861005874978	240
315	3.23892849298566	224
316	3.26924693694629	276
317	3.29956539072269	223
318	3.3298838544059	244
319	3.36020232808694	245
320	3.39052081185686	254
321	3.42083930580667	217
322	3.45115781002742	237
323	3.48147632461013	249
324	3.51179484964584	214
325	3.54211338522557	282
326	3.57243193144037	247
327	3.60275048838125	236
328	3.63306905613926	249
329	3.66338763480542	240
330	3.69370622447076	260
331	3.72402482522632	247
332	3.75434343716313	241
333	3.78466206037222	255
334	3.81498069494462	245
335	3.84529934097137	277
336	3.87561799854349	276
337	3.90593666775201	250
338	3.93625534868797	278
339	3.96657404144241	257
340	3.99689274610634	276
341	4.02721146277081	263
342	4.05753019152684	255
343	4.08784893246546	280
344	4.11816768567771	231
345	4.14848645125462	238
346	4.17880522928723	265
347	4.20912401986655	253
348	4.23944282308363	268
349	4.26976163902949	257
350	4.30008046779517	284
351	4.3303993094717	282
352	4.3607181641501	251
353	4.39103703192142	249
354	4.42135591287668	277
355	4.45167480710692	261
356	4.48199371470316	265
357	4.51231263575644	264
358	4.54263157035779	274
359	4.57295051859824	264
360	4.60326948056883	263
361	4.63358845636057	261
362	4.66390744606452	298
363	4.69422644977169	297
364	4.72454546757311	248
365	4.75486449955983	240
366	4.78518354582287	237
367	4.81550260645327	267
368	4.84582168154205	279
369	4.87614077118024	274
370	4.90645987545889	293
371	4.93677899446901	286
372	4.96709812830165	279
